id,name,category,status
"1","Department of Rural Development","General,BC,SC","1"
"2","Haryana Scheduled Castes Finance and Development Corporation","SC","1"
"3","CSC e-Governance Services India Limited (CSC SPV)","General,BC,SC","1"
"4","Animal Husbandry and Dairy Department","General,BC,SC","1"
"5","Urban Local Bodies Department","General,BC,SC","1"
"7","Horticulture Department","General,BC,SC","1"
"8","Haryana Skill Development Mission","General,BC,SC","1"
"9","Haryana Backward Classes and Economically Weaker Sections Kalyan Nigam","BC","1"
"10","Haryana Red Cross Society","General,BC,SC","1"
"11","Haryana Women Development Corporation","General,BC,SC","1"
"12","Scheduled Castes and Backward Classes Welfare Department","General,BC,SC","0"
"13","Employment Department","General,BC,SC","1"
"14","Haryana State Council for Child Welfare","General,BC,SC","1"
"16","Fisheries Department","General,BC,SC","1"
"17","Other",\N,"1"
"18","Micro, Small and Medium Enterprises Directorate","General,BC,SC","1"
"19","Haryana Agro Industries Corporation Limited",\N,"1"
"20","Housing for All Department",\N,"0"
"21","Haryana State Rural Livelihoods Mission",\N,"1"
"22","National Safai Karamcharis Finance and Development Corporation",\N,"0"
"23","Haryana Dairy Development Cooperative Federation Ltd.",\N,"1"
"24","Development and Panchayat Department ",\N,"1"
